Publisher,Type
Great American Advisors,Guaranteed placement
International Business Times,Guaranteed placement
Inyo Register,Guaranteed placement
Kane Republican,Guaranteed placement
Kelowna Daily Courier,Guaranteed placement
Livermore.com,Guaranteed placement
LosAltos.com,Guaranteed placement
Malvern Daily Record,Guaranteed placement
Mammoth Times,Guaranteed placement
MenloPark.com,Guaranteed placement
MillValley.com,Guaranteed placement
Minster Community Post,Guaranteed placement
myMotherLode.com California Gold Country,Guaranteed placement
NewsOK,Guaranteed placement
Observer News Enterprise,Guaranteed placement
Penticton Herald,Guaranteed placement
Pittsburgh Post-Gazette,Guaranteed placement
Pleasanton.com,Guaranteed placement
Poteau Daily News,Guaranteed placement
Press-Telegram,Guaranteed placement
Ridgway Record,Guaranteed placement
SanAnselmo.com,Guaranteed placement
SanRafael.com,Guaranteed placement
SantaClara.com,Guaranteed placement
Sausalito.com,Guaranteed placement
Sign On San Diego,Guaranteed placement
Spoke.com,Guaranteed placement
Star Tribune,Guaranteed placement
Starkville Daily News,Guaranteed placement
StreetInsider,Guaranteed placement
Sunnyvale.com,Guaranteed placement
Sweetwater Reporter,Guaranteed placement
Tamar Securities,Guaranteed placement
The Antlers American,Guaranteed placement
The Buffalo News,Guaranteed placement
The Chronicle Journal,Guaranteed placement
The Evening Leader,Guaranteed placement
The Newport Daily Express,Guaranteed placement
The Pilot News,Guaranteed placement
The Punxsutawney Spirit,Guaranteed placement
Townhall Finance,Guaranteed placement
Valley City Times-Record,Guaranteed placement
Value Investing News,Guaranteed placement
WallStreetSelect,Guaranteed placement
WalnutCreekGuide.com,Guaranteed placement
Wapakoneta Daily News,Guaranteed placement
"Winslow, Evans & Crocker",Guaranteed placement
WRAL,Guaranteed placement
Antelope Valley Press,Guaranteed placement
Appeal-Democrat,Guaranteed placement
Bakersfield.com,Guaranteed placement
fox47,"FOX Affiliate, Guaranteed placement"
FWNBC,"NBC Affiliate, Guaranteed placement"
Hannibal Courier - Post,Guaranteed placement
Herald-Whig,Guaranteed placement
Imperial Valley Press,Guaranteed placement
KBJR/CBS3,Guaranteed placement
KTIV,Guaranteed placement
KTTC,Guaranteed placement
KVOA,"NBC Affiliate, Guaranteed placement"
KWWL,"NBC Affiliate, Guaranteed placement"
lodinews.com,Guaranteed placement
Millennium Trust Company,Guaranteed placement
Santa Maria Times,Guaranteed placement
Shelby Daily Globe,Guaranteed placement
The Porterville Recorder,Guaranteed placement
The Sun Chronicle,Guaranteed placement
The Union Democrat,Guaranteed placement
The Westerly Sun,Guaranteed placement
Times-Herald,Guaranteed placement
WAOW,"ABC affiliate, Guaranteed placement"
WBNG,Guaranteed placement
WEEK/HOIABC,Guaranteed placement
WGEM,Guaranteed placement
WKOW,"ABC affiliate, Guaranteed placement"
WPTA,Guaranteed placement
WQOW,"ABC affiliate, Guaranteed placement"
WREX,"NBC Affiliate, Guaranteed placement"
WSIL,Guaranteed placement
WVVA,Guaranteed placement
WXOW,"ABC affiliate, Guaranteed placement"
7 Rivers Livestock,Guaranteed placement
Ag Southwest Crop & Ranch Insurance,Guaranteed placement
AgBest Cooperative Inc.,Guaranteed placement
AgRail LLC ,Guaranteed placement
"Agri-Way Partners, LLC.",Guaranteed placement
AGrowStar,Guaranteed placement
Anton Co-op,Guaranteed placement
Arabi Gin,Guaranteed placement
Augusta Farmers Coop,Guaranteed placement
Azalia Elevator Inc.,Guaranteed placement
Banner Co-operative Elevator Association,Guaranteed placement
Bar-G Feedyard,Guaranteed placement
Beardsley Farmers Elevator Company,Guaranteed placement
"Bieri Grain, LLC",Guaranteed placement
Bloomington Livestock Exchange,Guaranteed placement
Bolt Marketing LLC,Guaranteed placement
Boston Gin Company,Guaranteed placement
BRT AG & TURF,Guaranteed placement
"Brugler Marketing & Management, LLC",Guaranteed placement
Butterfield & Associates Grain,Guaranteed placement
Cain Agra,Guaranteed placement
Cameron Grain Corporation,Guaranteed placement
"CDR Farms, LLC",Guaranteed placement
Cedar County Coop,Guaranteed placement
Central Plains Trading,Guaranteed placement
Cherokee Gin & Cotton Co. ,Guaranteed placement
Choice Cotton,Guaranteed placement
Clare-Mar Farms Limited,Guaranteed placement
Collwest Grain Ltd.,Guaranteed placement
"CO-OP Services, Inc.",Guaranteed placement
Cooperative Grain and Supply,Guaranteed placement
Corpus Christi Grain Company,Guaranteed placement
Country Futures Inc.,Guaranteed placement
Countryside Ag Service,Guaranteed placement
"CropGuard Group, Inc.",Guaranteed placement
"Cunningham Farms, Inc.",Guaranteed placement
Dacoma Farmers Coop,Guaranteed placement
Danvers Farmers Elevator Company,Guaranteed placement
Dean Cluck Feedyard,Guaranteed placement
"Dixon Gin Co., Inc.",Guaranteed placement
Doerun Gin Company,Guaranteed placement
"Doon Elevator, Inc",Guaranteed placement
"Driscoll Grain Coop, Inc.",Guaranteed placement
Dumas Co-op Elevators,Guaranteed placement
Dummer&#39;s Grain Service & Buck County Grain,Guaranteed placement
Earling Grain & Feed,Guaranteed placement
Edon Farmers Co-op,Guaranteed placement
Elkhart Coop Equity Exchange,Guaranteed placement
Farmers Co-op Alva,Guaranteed placement
"Farmers Coop Association - Snyder, OK",Guaranteed placement
Farmers Coop Elevator - Morganville Coop,Guaranteed placement
Farmers Coop Elevator Rosholt,Guaranteed placement
Farmers Coop Mill and Elevator - Carnegie,Guaranteed placement
"Farmers Cooperative - Carmen, Aline, Cherokee, Ames, Drummond",Guaranteed placement
"Farmers Cooperative Association - Tonkawa, OK",Guaranteed placement
Farmers Cooperative Association of Eldorado,Guaranteed placement
Farmers Cooperative Elevator Co. MN Hanley Falls,Guaranteed placement
"Farmers Elevator & Exchange, Inc.",Guaranteed placement
Farmers Exchange,Guaranteed placement
Farmers Grain Company - Roseville,Guaranteed placement
Farmers Grain Elevator,Guaranteed placement
Farmers Grain of Dorans,Guaranteed placement
Forest Agri Services LTD.,Guaranteed placement
"French Camp Grain Company, Inc.",Guaranteed placement
"Friona Wheat Growers, Inc.",Guaranteed placement
Gard Trading Services (Farmers View),Guaranteed placement
Glendenning Grain,Guaranteed placement
Glenwood Elevator Inc.,Guaranteed placement
Gowanlea LTD.,Guaranteed placement
Grainland Cooperative - IL,Guaranteed placement
"Green City Livestock Marketing, LLC",Guaranteed placement
Gulf Coast Cooperative,Guaranteed placement
"H & B Specialties, Inc.",Guaranteed placement
"Hemmer Grain, LLC",Guaranteed placement
Holmes Agro,Guaranteed placement
"Hull Feed & Produce, Inc",Guaranteed placement
Ida Farmers Co-op,Guaranteed placement
InterMountain Beef,Guaranteed placement
Investors Commodity Services,Guaranteed placement
Iowa Farm Bureau,Guaranteed placement
"James Valley Grain, LLC",Guaranteed placement
J-LYN Grains,Guaranteed placement
Judge Farms,Guaranteed placement
Keller Grain,Guaranteed placement
Land Run Farmers Cooperative - OK,Guaranteed placement
"Lang Farms, Ltd.",Guaranteed placement
LeRoy Coop,Guaranteed placement
Les Young Farms Ltd,Guaranteed placement
Lick Elevator Inc.,Guaranteed placement
Litchfield Farmers Grain,Guaranteed placement
Little Sioux Corn Processors,Guaranteed placement
Lubbock Feeders,Guaranteed placement
McCune Farmers Union Coop Association,Guaranteed placement
Meade Cooperative & Elevator Supply Company,Guaranteed placement
Melrose Farm Service Inc,Guaranteed placement
Mid-Columbia Insurance Inc.,Guaranteed placement
"Mid-Valley Cotton Growers, Inc.",Guaranteed placement
Mobley Gin Company,Guaranteed placement
"Montrose Grain and Supply, LLC",Guaranteed placement
Mulvane Cooperative Union,Guaranteed placement
North Missouri Livestock Auction LLC,Guaranteed placement
Northwest Investments,Guaranteed placement
Offerle Cooperative Grain & Supply Company,Guaranteed placement
OFOR,Guaranteed placement
"Omega Farm Supply, Inc. & Gin Company",Guaranteed placement
Parrish Shop & Sales LLC,Guaranteed placement
PCE Producers Coop Elevator,Guaranteed placement
Petersen Custom Farming,Guaranteed placement
"Pilot Grove Elevator Cooperative, Inc.",Guaranteed placement
Prairie Central Coop,Guaranteed placement
Premium Feed & Grain,Guaranteed placement
Prentice Elevator,Guaranteed placement
Pro Ag Farmers Co-op,Guaranteed placement
Pro-Ag Marketing,Guaranteed placement
Professional Ag Marketing Inc.,Guaranteed placement
"Progressive Marketing Strategies, Inc",Guaranteed placement
Punkin Center Gin,Guaranteed placement
"Rangeland Cooperatives, Inc.",Guaranteed placement
RCM Co-op,Guaranteed placement
Remsen Farmers Coop,Guaranteed placement
Rickett Grain Co.,Guaranteed placement
Ringneck Energy,Guaranteed placement
RKM Grain,Guaranteed placement
Roanoke Farmers Association,Guaranteed placement
Rolling Acres Farm - Canada,Guaranteed placement
Rolling Hills Gin,Guaranteed placement
S & B Cattle Company,Guaranteed placement
Salem Grain,Guaranteed placement
Sargeant Grain Co.,Guaranteed placement
Schlabs Hysinger,Guaranteed placement
Schramm Feedlot,Guaranteed placement
"Sidwell Strategies, LLC",Guaranteed placement
SilverEdge Cooperative,Guaranteed placement
Siouxland Energy Cooperative,Guaranteed placement
Snittjer Grain Co,Guaranteed placement
"Sooner Cooperative, Inc.",Guaranteed placement
"Sowega Cotton Gin & Warehouse, LLC.",Guaranteed placement
Spartan Insurance Agency,Guaranteed placement
Stafford County Flour Mills,Guaranteed placement
State Line Grain & Feed LLC,Guaranteed placement
Stickney Coop Elevator,Guaranteed placement
Stone Station Elevator,Guaranteed placement
Stoneybrook Elevators,Guaranteed placement
Strauss Feedmill / MPS Egg Farms,Guaranteed placement
Texas Producers Cooperative,Guaranteed placement
The Cotton Gin,Guaranteed placement
The Farmers Elevator Grain & Supply Assn.,Guaranteed placement
"The Insurance Shop, Inc.",Guaranteed placement
The Jewell Grain Co.,Guaranteed placement
Top Tier Commodities,Guaranteed placement
Trainor Grain & Supply Company,Guaranteed placement
Tremont Co-operative Grain Co.,Guaranteed placement
"Tri-Cities Grain, LLC.",Guaranteed placement
Triple-M-Farms,Guaranteed placement
"Trotter, Inc.",Guaranteed placement
Turner Seed Inc.,Guaranteed placement
"Turon Mill & Elevator, Inc.",Guaranteed placement
Underwood Grain Limited,Guaranteed placement
USA-LSA,Guaranteed placement
Uvalde County Farmers Coop,Guaranteed placement
Waitt Grain Co,Guaranteed placement
Walters Co-op Elevator Assn,Guaranteed placement
Waukon Feed Ranch,Guaranteed placement
Western Cooperative Company,Guaranteed placement
Wheatfield Grain,Guaranteed placement
Wilson Farms Grain Storage and Elevation ,Guaranteed placement
"Winchester Ag Service, Inc",Guaranteed placement
